[INFO ][memory ][Mon Oct 15 08:46:24 2018][1539585984358][31471] [YC#26873] 1528933.044-1528933.234: YC 19038680KB->11314917KB (25165824KB), 0.190 s, sum of pauses 188.305 ms, longest pause 188.305 ms.
[INFO ][memory ][Mon Oct 15 08:46:16 2018][1539585976214][39702] [YC#25432] 1528924.980-1528925.113: YC 18792120KB->11061397KB (25165824KB), 0.133 s, sum of pauses 131.101 ms, longest pause 131.101 ms.
[INFO ][memory ][Mon Oct 15 08:46:03 2018][1539585963079][22283] [OC#11051] 1528910.473-1528911.008: OC 17831487KB->4017294KB (25165824KB), 0.535 s, sum of pauses 486.473 ms, longest pause 486.473 ms.
[INFO ][memory ][Mon Oct 15 08:46:03 2018][1539585963574][39702] [YC#25431] 1528912.369-1528912.507: YC 18070471KB->10351598KB (25165824KB), 0.139 s, sum of pauses 136.720 ms, longest pause 136.720 ms.
[INFO ][memory ][Mon Oct 15 08:46:03 2018][1539585963578][31471] [YC#26872] 1528912.298-1528912.512: YC 18227271KB->10508564KB (25165824KB), 0.214 s, sum of pauses 212.180 ms, longest pause 212.180 ms.
[INFO ][memory ][Mon Oct 15 08:45:47 2018][1539585947584][31471] [YC#26871] 1528896.381-1528896.561: YC 17380125KB->9657821KB (25165824KB), 0.181 s, sum of pauses 178.773 ms, longest pause 178.773 ms.
[INFO ][memory ][Mon Oct 15 08:45:46 2018][1539585946570][22283] [YC#25584] 1528894.400-1528894.544: YC 17312128KB->9457297KB (25165824KB), 0.144 s, sum of pauses 141.741 ms, longest pause 141.741 ms.
[INFO ][memory ][Mon Oct 15 08:45:45 2018][1539585945932][39702] [YC#25430] 1528894.772-1528894.913: YC 17244232KB->9512231KB (25165824KB), 0.141 s, sum of pauses 139.355 ms, longest pause 139.355 ms.
[INFO ][memory ][Mon Oct 15 08:45:33 2018][1539585933220][39702] [YC#25429] 1528882.088-1528882.237: YC 16480236KB->8789995KB (25165824KB), 0.149 s, sum of pauses 146.690 ms, longest pause 146.690 ms.
[INFO ][memory ][Mon Oct 15 08:45:32 2018][1539585932923][31471] [YC#26870] 1528881.774-1528881.940: YC 16544077KB->8819669KB (25165824KB), 0.167 s, sum of pauses 165.306 ms, longest pause 165.306 ms.
